
======================================================================================
RUN STARTED: Sun Dec 21 15:33:29 2025
======================================================================================
 time |   V   |  <k>  | Δ<k> |  L  | ΔL |    Φ    |    Ψ    |    Ω    | acc%
15600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
16000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
16100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
16200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
16300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
16400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
16500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
16600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
16700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
